"province_name","ageclass","mof_exist","ebmn_exist","dla_elderly","dla_disabled","MPI_poor","MPI_health","MPI_education","MPI_income","MPI_living","MPI_accessibility","population"
"กระบี่","ผู้ใหญ่",0,1,"N","N","Y","N","N","N","Y","N",14966
"กระบี่","เด็ก",0,1,"N","N","Y","N","N","N","Y","N",3928
"กระบี่","ผู้ใหญ่",1,1,"Y","Y","N","N","N","N","N","N",6
"กระบี่","เด็กก่อนวัยเรียน",0,1,"N","N","Y","N","Y","Y","N","N",33
"กระบี่","เด็ก",0,1,"N","N","Y","Y","N","N","Y","N",451
"กระบี่","ผู้ใหญ่",0,1,"N","Y","Y","Y","Y","N","Y","N",2
"กระบี่","ผู้สูงอายุ",1,1,"Y","N","Y","Y","Y","Y","Y","N",15
"กระบี่","ผู้สูงอายุ",1,1,"Y","N","Y","N","N","Y","Y","N",258
"กระบี่","ผู้ใหญ่",0,1,"N","Y","Y","N","N","Y","Y","N",18
"กระบี่","เด็กอ่อน",0,1,"N","N","Y","Y","Y","Y","Y","N",6
"กระบี่","ผู้ใหญ่",0,1,"Y","Y","Y","N","N","N","Y","N",7
"กระบี่","ผู้สูงอายุ",1,1,"Y","N","Y","N","N","N","N","Y",5
"กระบี่","ผู้สูงอายุ",0,1,"Y","N","Y","Y","N","Y","Y","Y",2
"กระบี่","เด็กก่อนวัยเรียน",0,1,"N","N","Y","Y","N","Y","Y","N",13
"กระบี่","ผู้ใหญ่",1,1,"Y","Y","Y","N","N","Y","N","N",1
"กระบี่","ผู้ใหญ่",0,1,"N","N","Y","Y","Y","N","Y","N",154
"กระบี่","ผู้ใหญ่",1,1,"N","N","Y","N","N","Y","Y","N",264
"กระบี่","ผู้สูงอายุ",0,1,"Y","Y","Y","Y","Y","N","Y","N",1
"กระบี่","ผู้สูงอายุ",0,1,"Y","N","Y","Y","Y","N","Y","N",15
"กระบี่","ผู้สูงอายุ",0,1,"N","Y","Y","N","N","N","Y","N",3
"กระบี่","ผู้สูงอายุ",0,1,"N","N","Y","N","Y","Y","Y","N",4
"กระบี่","เด็ก",0,1,"N","Y","Y","N","N","Y","N","N",9
"กระบี่","เด็กก่อนวัยเรียน",0,1,"N","N","Y","Y","Y","Y","Y","N",3
"กระบี่","ผู้ใหญ่",1,1,"Y","N","Y","N","Y","Y","Y","N",1
"กระบี่","ผู้ใหญ่",0,1,"Y","Y","Y","Y","N","N","N","N",2
"กระบี่","ผู้ใหญ่",1,1,"N","N","Y","N","N","Y","N","Y",1
"กระบี่","ผู้ใหญ่",1,1,"Y","N","Y","N","N","Y","Y","N",1
"กระบี่","ผู้ใหญ่",1,1,"Y","N","Y","Y","N","Y","N","N",1
"กระบี่","ผู้ใหญ่",0,1,"Y","N","Y","N","Y","Y","N","N",3
"กระบี่","ผู้สูงอายุ",0,1,"Y","N","Y","Y","N","Y","N","Y",1
"กระบี่","ผู้สูงอายุ",1,1,"Y","Y","Y","N","N","Y","N","Y",1
"กระบี่","ผู้ใหญ่",0,1,"N","N","Y","N","N","Y","Y","N",1010
"กระบี่","ผู้ใหญ่",1,1,"N","N","Y","Y","N","N","N","N",404
"กระบี่","ผู้สูงอายุ",1,1,"Y","N","Y","N","N","Y","N","Y",3
"กระบี่","ผู้ใหญ่",1,1,"Y","N","N","N","N","N","N","N",159
"กระบี่","ผู้สูงอายุ",1,1,"N","N","Y","Y","N","N","Y","N",7
"กระบี่","ผู้ใหญ่",0,1,"N","Y","Y","N","N","N","N","Y",4
"กระบี่","ผู้สูงอายุ",1,1,"N","Y","Y","N","N","Y","N","N",1
"กระบี่","ผู้ใหญ่",1,1,"N","Y","Y","N","N","N","N","Y",3
"กระบี่","ผู้ใหญ่",0,1,"Y","N","Y","N","Y","Y","Y","N",1
"กระบี่","ผู้สูงอายุ",1,1,"N","Y","Y","Y","N","N","Y","N",1
"กระบี่","เด็ก",0,1,"N","N","Y","N","Y","N","N","N",3726
"กระบี่","ผู้ใหญ่",0,1,"N","N","Y","Y","N","Y","N","N",482
"กระบี่","ผู้สูงอายุ",1,1,"Y","N","Y","Y","N","N","N","N",343
"กระบี่","ผู้ใหญ่",0,1,"N","N","Y","N","Y","Y","N","N",401
"กระบี่","เด็ก",0,1,"N","N","Y","Y","Y","N","Y","N",122
"กระบี่","ผู้สูงอายุ",1,1,"Y","N","Y","N","Y","Y","N","N",68
"กระบี่","ผู้สูงอายุ",1,1,"Y","N","Y","N","Y","Y","Y","N",28
"กระบี่","ผู้ใหญ่",0,1,"Y","N","Y","N","N","N","Y","N",134
"กระบี่","เด็กอ่อน",0,1,"N","N","Y","Y","N","Y","Y","N",17
"กระบี่","ผู้ใหญ่",0,1,"N","N","Y","Y","Y","N","N","N",76
"กระบี่","ผู้ใหญ่",1,1,"N","Y","Y","N","Y","N","N","N",55
"กระบี่","ผู้ใหญ่",0,1,"Y","N","Y","N","Y","N","Y","N",6
"กระบี่","ผู้สูงอายุ",0,1,"N","N","Y","Y","Y","N","N","N",3
"กระบี่","ผู้สูงอายุ",1,1,"N","N","Y","Y","N","Y","N","N",3
"กระบี่","ผู้สูงอายุ",0,1,"Y","Y","Y","N","N","N","N","Y",3
"กระบี่","ผู้สูงอายุ",0,1,"Y","N","Y","N","N","N","N","Y",7
"กระบี่","ผู้ใหญ่",0,1,"Y","Y","Y","N","N","Y","N","N",4
"กระบี่","ผู้สูงอายุ",1,1,"Y","Y","Y","N","N","N","N","Y",5
"กระบี่","เด็กก่อนวัยเรียน",0,1,"N","N","Y","Y","Y","Y","N","N",1
"กระบี่","ผู้ใหญ่",0,1,"Y","N","Y","Y","Y","Y","Y","N",1
"กระบี่","ผู้ใหญ่",0,1,"Y","Y","Y","N","Y","N","Y","N",1
"กระบี่","ผู้ใหญ่",1,0,"N","Y","NA","NA","NA","NA","NA","NA",547
"กระบี่","ผู้ใหญ่",1,1,"N","N","Y","N","Y","Y","N","N",113
"กระบี่","ผู้ใหญ่",1,1,"N","N","Y","N","N","Y","N","N",983
"กระบี่","ผู้สูงอายุ",0,1,"Y","N","Y","N","Y","N","Y","N",37
"กระบี่","ผู้สูงอายุ",1,1,"N","N","Y","N","N","N","Y","N",32
"กระบี่","เด็กก่อนวัยเรียน",0,1,"N","N","Y","Y","N","N","Y","N",82
"กระบี่","เด็กก่อนวัยเรียน",0,1,"N","N","Y","N","N","Y","Y","N",52
"กระบี่","ผู้สูงอายุ",1,1,"N","Y","N","N","N","N","N","N",11
"กระบี่","ผู้ใหญ่",1,1,"N","N","Y","Y","Y","N","Y","N",69
"กระบี่","ผู้ใหญ่",1,1,"N","Y","Y","Y","N","N","N","N",27
"กระบี่","ผู้สูงอายุ",0,1,"N","N","Y","N","Y","Y","N","N",12
"กระบี่","ผู้สูงอายุ",1,1,"Y","Y","Y","N","Y","N","N","N",28
"กระบี่","ผู้ใหญ่",0,1,"N","Y","Y","Y","N","Y","N","N",24
"กระบี่","ผู้สูงอายุ",1,1,"N","N","Y","N","N","Y","Y","N",5
